PK_m,Abscisa,Latitud,Longitud,Cota_terreno_msnm,Cota_rasante_msnm,Cobertura_m
0.0,K0+000.00,4.364,-75.196,951.0,951.0,-0.0
500.0,K0+500.00,4.365112,-75.200366,978.7,955.8,22.9
1000.0,K1+000.00,4.366224,-75.204732,991.6,960.6,31.0
1500.0,K1+500.00,4.367336,-75.209099,1100.5,965.4,135.1
2000.0,K2+000.00,4.368449,-75.213465,1131.2,970.2,161.0
2500.0,K2+500.00,4.369561,-75.217831,1197.4,975.0,222.4
3000.0,K3+000.00,4.370673,-75.222197,1299.8,979.8,320.1
3500.0,K3+500.00,4.371785,-75.226563,1174.3,984.6,189.7
4000.0,K4+000.00,4.372897,-75.23093,1296.7,989.3,307.4
4500.0,K4+500.00,4.374009,-75.235296,1426.5,994.1,432.4
5000.0,K5+000.00,4.375121,-75.239662,1531.7,998.9,532.8
5500.0,K5+500.00,4.376233,-75.244028,1738.9,1003.7,735.2
6000.0,K6+000.00,4.377345,-75.248395,1539.6,1008.5,531.1
6500.0,K6+500.00,4.378456,-75.252761,1499.1,1013.3,485.8
7000.0,K7+000.00,4.379568,-75.257127,1477.7,1018.1,459.6
7500.0,K7+500.00,4.38068,-75.261494,1648.6,1022.9,625.7
8000.0,K8+000.00,4.381792,-75.26586,1452.9,1027.7,425.2
8500.0,K8+500.00,4.382904,-75.270226,1572.4,1032.5,540.0
9000.0,K9+000.00,4.384015,-75.274593,1591.2,1037.3,553.9
9500.0,K9+500.00,4.385127,-75.278959,1472.4,1042.1,430.3
10000.0,K10+000.00,4.386239,-75.283326,1545.6,1046.9,498.8
10500.0,K10+500.00,4.387351,-75.287692,1440.9,1051.7,389.2
11000.0,K11+000.00,4.388462,-75.292058,1158.4,1056.4,101.9
11500.0,K11+500.00,4.389574,-75.296425,1292.0,1061.2,230.7
12000.0,K12+000.00,4.390685,-75.300791,1384.6,1066.0,318.6
12500.0,K12+500.00,4.391797,-75.305158,1355.8,1070.8,285.0
13000.0,K13+000.00,4.392909,-75.309524,1313.2,1075.6,237.6
13500.0,K13+500.00,4.39402,-75.313891,1384.9,1080.4,304.5
14000.0,K14+000.00,4.395132,-75.318257,1502.5,1085.2,417.3
14500.0,K14+500.00,4.396243,-75.322624,1545.1,1090.0,455.1
15000.0,K15+000.00,4.397355,-75.32699,1703.0,1094.8,608.2
15500.0,K15+500.00,4.398466,-75.331357,1871.8,1099.6,772.2
16000.0,K16+000.00,4.399577,-75.335723,1875.6,1104.4,771.2
16500.0,K16+500.00,4.400689,-75.34009,1931.7,1109.2,822.5
17000.0,K17+000.00,4.4018,-75.344457,2000.9,1114.0,887.0
17500.0,K17+500.00,4.402911,-75.348823,2096.6,1118.8,977.8
18000.0,K18+000.00,4.404023,-75.35319,2090.1,1123.5,966.6
18500.0,K18+500.00,4.405134,-75.357556,1813.2,1128.3,684.8
19000.0,K19+000.00,4.406245,-75.361923,1818.0,1133.1,684.9
19500.0,K19+500.00,4.407356,-75.36629,2087.2,1137.9,949.3
20000.0,K20+000.00,4.408468,-75.370656,1903.3,1142.7,760.5
20500.0,K20+500.00,4.409579,-75.375023,1656.0,1147.5,508.5
21000.0,K21+000.00,4.41069,-75.37939,1890.4,1152.3,738.1
21500.0,K21+500.00,4.411801,-75.383756,1976.3,1157.1,819.2
22000.0,K22+000.00,4.412912,-75.388123,1828.2,1161.9,666.3
22500.0,K22+500.00,4.414023,-75.39249,1715.7,1166.7,549.0
23000.0,K23+000.00,4.415134,-75.396857,1904.9,1171.5,733.5
23500.0,K23+500.00,4.416245,-75.401223,2086.7,1176.3,910.4
24000.0,K24+000.00,4.417356,-75.40559,2375.0,1181.1,1193.9
24500.0,K24+500.00,4.418467,-75.409957,2478.2,1185.9,1292.3
25000.0,K25+000.00,4.419578,-75.414324,2339.3,1190.6,1148.6
25500.0,K25+500.00,4.420689,-75.41869,2233.9,1195.4,1038.5
26000.0,K26+000.00,4.4218,-75.423057,2016.8,1200.2,816.5
26500.0,K26+500.00,4.422911,-75.427424,1861.9,1205.0,656.9
27000.0,K27+000.00,4.424022,-75.431791,1779.9,1209.8,570.1
27500.0,K27+500.00,4.425132,-75.436158,2017.0,1214.6,802.4
28000.0,K28+000.00,4.426243,-75.440525,2235.2,1219.4,1015.8
28500.0,K28+500.00,4.427354,-75.444892,2287.6,1224.2,1063.4
29000.0,K29+000.00,4.428465,-75.449258,2237.8,1229.0,1008.8
29500.0,K29+500.00,4.429575,-75.453625,2087.1,1233.8,853.3
30000.0,K30+000.00,4.430686,-75.457992,2097.0,1238.6,858.5
30500.0,K30+500.00,4.431797,-75.462359,2135.4,1243.4,892.1
31000.0,K31+000.00,4.432907,-75.466726,2171.0,1248.2,922.8
31500.0,K31+500.00,4.434018,-75.471093,2166.0,1253.0,913.1
32000.0,K32+000.00,4.435128,-75.47546,2355.5,1257.8,1097.8
32500.0,K32+500.00,4.436239,-75.479827,2265.1,1262.5,1002.6
33000.0,K33+000.00,4.437349,-75.484194,2231.8,1267.3,964.5
33500.0,K33+500.00,4.43846,-75.488561,2404.0,1272.1,1131.9
34000.0,K34+000.00,4.43957,-75.492928,2309.4,1276.9,1032.5
34500.0,K34+500.00,4.440681,-75.497295,2400.3,1281.7,1118.5
35000.0,K35+000.00,4.441791,-75.501662,2540.9,1286.5,1254.4
35500.0,K35+500.00,4.442902,-75.506029,2591.1,1291.3,1299.8
36000.0,K36+000.00,4.444012,-75.510396,2432.5,1296.1,1136.4
36500.0,K36+500.00,4.445122,-75.514763,2495.7,1300.9,1194.8
37000.0,K37+000.00,4.446233,-75.519131,2529.0,1305.7,1223.3
37500.0,K37+500.00,4.447343,-75.523498,2605.0,1310.5,1294.5
38000.0,K38+000.00,4.448453,-75.527865,2661.1,1315.3,1345.8
38500.0,K38+500.00,4.449563,-75.532232,2741.9,1320.1,1421.8
39000.0,K39+000.00,4.450674,-75.536599,2848.3,1324.9,1523.5
39500.0,K39+500.00,4.451784,-75.540966,2863.6,1329.6,1534.0
40000.0,K40+000.00,4.452894,-75.545333,2942.2,1334.4,1607.8
40500.0,K40+500.00,4.454004,-75.549701,2865.4,1339.2,1526.2
41000.0,K41+000.00,4.455114,-75.554068,3043.3,1344.0,1699.3
41500.0,K41+500.00,4.456224,-75.558435,3108.3,1348.8,1759.5
42000.0,K42+000.00,4.457334,-75.562802,3122.0,1353.6,1768.4
42500.0,K42+500.00,4.458444,-75.56717,3283.0,1358.4,1924.6
43000.0,K43+000.00,4.459554,-75.571537,3293.6,1363.2,1930.4
43500.0,K43+500.00,4.460664,-75.575904,3271.6,1368.0,1903.6
44000.0,K44+000.00,4.461774,-75.580271,3176.8,1372.8,1804.0
44500.0,K44+500.00,4.462884,-75.584639,3110.1,1377.6,1732.5
45000.0,K45+000.00,4.463994,-75.589006,2778.2,1382.4,1395.9
45500.0,K45+500.00,4.465104,-75.593373,2528.8,1387.2,1141.6
46000.0,K46+000.00,4.466214,-75.597741,2450.4,1392.0,1058.4
46500.0,K46+500.00,4.467324,-75.602108,2307.4,1396.7,910.7
47000.0,K47+000.00,4.468433,-75.606475,2176.4,1401.5,774.9
47500.0,K47+500.00,4.469543,-75.610843,2146.3,1406.3,740.0
48000.0,K48+000.00,4.470653,-75.61521,2199.8,1411.1,788.7
