PK_m,Abscisa,Latitud,Longitud,Cota_terreno_msnm,Cota_rasante_msnm,Cobertura_m
0.0,K0+000.00,4.364,-75.196,951.0,951.0,-0.0
34.8,K0+034.83,4.364077,-75.196304,954.2,951.3,2.9
69.7,K0+069.66,4.364155,-75.196608,956.6,951.7,4.9
104.5,K0+104.49,4.364232,-75.196912,955.9,952.0,3.9
139.3,K0+139.32,4.36431,-75.197217,958.8,952.3,6.4
174.2,K0+174.16,4.364387,-75.197521,958.6,952.7,5.9
209.0,K0+208.99,4.364465,-75.197825,960.4,953.0,7.4
243.8,K0+243.82,4.364542,-75.198129,962.8,953.3,9.5
278.6,K0+278.65,4.36462,-75.198433,960.8,953.7,7.2
313.5,K0+313.48,4.364697,-75.198737,966.6,954.0,12.6
348.3,K0+348.31,4.364775,-75.199042,966.3,954.3,11.9
383.1,K0+383.14,4.364852,-75.199346,963.2,954.7,8.5
418.0,K0+417.97,4.36493,-75.19965,981.3,955.0,26.3
452.8,K0+452.80,4.365007,-75.199954,979.9,955.3,24.6
487.6,K0+487.64,4.365085,-75.200258,978.7,955.7,23.0
522.5,K0+522.47,4.365162,-75.200562,988.0,956.0,32.0
557.3,K0+557.30,4.36524,-75.200866,986.0,956.3,29.7
592.1,K0+592.13,4.365317,-75.201171,982.1,956.7,25.4
627.0,K0+626.96,4.365395,-75.201475,975.4,957.0,18.4
661.8,K0+661.79,4.365472,-75.201779,982.1,957.3,24.8
696.6,K0+696.62,4.36555,-75.202083,978.2,957.7,20.6
731.5,K0+731.45,4.365627,-75.202387,985.3,958.0,27.3
766.3,K0+766.28,4.365704,-75.202691,984.3,958.3,25.9
801.1,K0+801.12,4.365782,-75.202996,987.0,958.7,28.3
835.9,K0+835.95,4.365859,-75.2033,990.0,959.0,31.0
870.8,K0+870.78,4.365937,-75.203604,992.3,959.3,32.9
905.6,K0+905.61,4.366014,-75.203908,988.6,959.7,28.9
940.4,K0+940.44,4.366092,-75.204212,990.2,960.0,30.2
975.3,K0+975.27,4.366169,-75.204516,989.1,960.3,28.8
1010.1,K1+010.10,4.366247,-75.204821,991.6,960.7,30.9
1044.9,K1+044.93,4.366324,-75.205125,996.7,961.0,35.6
1079.8,K1+079.76,4.366402,-75.205429,991.1,961.4,29.8
1114.6,K1+114.60,4.366479,-75.205733,992.6,961.7,30.9
1149.4,K1+149.43,4.366557,-75.206037,994.3,962.0,32.3
1184.3,K1+184.26,4.366634,-75.206341,1003.0,962.4,40.7
1219.1,K1+219.09,4.366712,-75.206645,1007.7,962.7,45.0
1253.9,K1+253.92,4.366789,-75.20695,1010.2,963.0,47.2
1288.8,K1+288.75,4.366867,-75.207254,1010.9,963.4,47.6
1323.6,K1+323.58,4.366944,-75.207558,1019.7,963.7,56.0
1358.4,K1+358.41,4.367022,-75.207862,1030.8,964.0,66.7
1393.2,K1+393.24,4.367099,-75.208166,1046.6,964.4,82.3
1428.1,K1+428.08,4.367177,-75.20847,1063.6,964.7,98.9
1462.9,K1+462.91,4.367254,-75.208775,1087.3,965.0,122.3
1497.7,K1+497.74,4.367331,-75.209079,1100.5,965.4,135.1
1532.6,K1+532.57,4.367409,-75.209383,1096.5,965.7,130.8
1567.4,K1+567.40,4.367486,-75.209687,1099.3,966.0,133.3
1602.2,K1+602.23,4.367564,-75.209991,1098.7,966.4,132.3
1637.1,K1+637.06,4.367641,-75.210295,1095.9,966.7,129.2
1671.9,K1+671.89,4.367719,-75.2106,1111.4,967.0,144.4
1706.7,K1+706.72,4.367796,-75.210904,1117.9,967.4,150.5
1741.6,K1+741.55,4.367874,-75.211208,1129.8,967.7,162.2
1776.4,K1+776.39,4.367951,-75.211512,1111.5,968.0,143.5
1811.2,K1+811.22,4.368029,-75.211816,1105.8,968.4,137.5
1846.0,K1+846.05,4.368106,-75.21212,1121.1,968.7,152.4
1880.9,K1+880.88,4.368184,-75.212424,1143.9,969.0,174.9
1915.7,K1+915.71,4.368261,-75.212729,1126.8,969.4,157.4
1950.5,K1+950.54,4.368339,-75.213033,1118.7,969.7,149.0
1985.4,K1+985.37,4.368416,-75.213337,1131.2,970.0,161.2
