mes;dias;total;livianos;buses;pesados;otros;tpd;tpd_pes
2021-10;31;31703;13804;8535;9124;240;1022.7;294.3
2021-11;30;80209;37660;20990;20711;848;2673.6;690.4
2021-12;31;126100;83155;22807;19318;820;4067.7;623.2
2022-01;31;99824;62264;19476;18084;0;3220.1;583.4
2022-02;28;61507;28454;17175;15878;0;2196.7;567.1
2022-03;31;70150;32573;19919;17658;0;2262.9;569.6
2022-04;30;85511;51133;18403;15975;0;2850.4;532.5
2022-05;31;47359;18540;14791;14028;0;1527.7;452.5
2022-06;30;65482;32454;17273;15755;0;2182.7;525.2
2022-07;31;72729;39885;17189;15655;0;2346.1;505.0
2022-08;31;71289;36991;18234;16064;0;2299.6;518.2
2022-09;30;65877;31672;18287;15918;0;2195.9;530.6
2022-10;31;78677;43902;19113;15662;0;2538.0;505.2
2022-11;30;72599;38174;19350;15075;0;2420.0;502.5
2022-12;31;105534;70830;20306;14398;0;3404.3;464.5
2023-01;31;99466;66843;18752;13871;0;3208.6;447.5
2023-02;28;60355;28798;17169;14388;0;2155.5;513.9
2023-03;31;72447;37761;19531;15155;0;2337.0;488.9
2023-04;30;143448;91871;30065;21512;0;4781.6;717.1
2023-05;31;112005;59089;32467;20449;0;3613.1;659.6
2023-06;30;129749;78190;32626;18933;0;4325.0;631.1
2023-07;31;139260;86073;34449;18738;0;4492.3;604.5
2023-08;31;128255;73939;35099;19217;0;4137.3;619.9
2023-09;30;109641;56136;34659;18846;0;3654.7;628.2
2023-10;31;132990;76081;36947;19962;0;4290.0;643.9
2023-11;30;127834;68902;38262;20670;0;4261.1;689.0
2023-12;31;182884;121002;41349;20533;0;5899.5;662.4
2024-01;31;186883;128733;38772;19378;0;6028.5;625.1
2024-02;29;105100;51442;34798;18860;0;3624.1;650.3
2024-03;31;145624;92181;35145;18298;0;4697.5;590.3
2024-04;30;106196;50089;36714;19393;0;3539.9;646.4
2024-05;31;114917;54631;39230;21056;0;3707.0;679.2
2024-06;30;134222;76641;38548;19033;0;4474.1;634.4
2024-07;31;130949;70609;39642;20698;0;4224.2;667.7
2024-08;31;132008;71598;39686;20724;0;4258.3;668.5
2024-09;30;110460;53172;37182;20106;0;3682.0;670.2
2024-10;31;145145;78945;42470;23730;0;4682.1;765.5
2024-11;30;133799;70343;41176;22280;0;4460.0;742.7
2024-12;31;189204;122881;43484;22839;0;6103.4;736.7
2025-01;31;195013;134556;37701;22756;0;6290.7;734.1
2025-02;28;108962;53116;33311;22535;0;3891.5;804.8
2025-03;31;134210;63624;40449;30137;0;4329.4;972.2
2025-04;30;153454;93558;36041;23855;0;5115.1;795.2
2025-05;31;127206;60919;38527;27760;0;4103.4;895.5
2025-06;30;147351;85338;36802;25211;0;4911.7;840.4
2025-07;31;142640;75597;39473;27570;0;4601.3;889.4
2025-08;31;148731;83520;38428;26783;0;4797.8;864.0
2025-09;30;126483;62622;37791;26070;0;4216.1;869.0
2025-10;31;154690;86684;40279;27727;0;4990.0;894.4
2025-11;30;142060;75042;39430;27588;0;4735.3;919.6
2025-12;31;197407;129853;41089;26465;0;6368.0;853.7
2026-01;31;206258;139952;39004;27302;0;6653.5;880.7
2026-02;28;116707;55260;35814;25633;0;4168.1;915.5
2026-03;31;145423;77592;39313;28518;0;4691.1;919.9
2026-04;30;148484;83811;37433;27240;0;4949.5;908.0
2026-05;31;131942;66756;37489;27697;0;4256.2;893.5
