mes;dias;total;livianos;intermedios;pesados;tpd;tpd_pes
2019-01;31;242199;122012;59954;60233;7.812,9;1.943,0
2019-02;28;157619;42295;55983;59341;5.629,2;2.119,3
2019-03;31;168022;49724;59963;58335;5.420,1;1.881,8
2019-04;30;197595;81489;59157;56949;6.586,5;1.898,3
2019-05;31;174712;44609;64697;65406;5.635,9;2.109,9
2019-06;30;191348;70004;60007;61337;6.378,3;2.044,6
2019-07;31;195836;64775;63861;67200;6.317,3;2.167,7
2019-08;31;193454;62225;64549;66680;6.240,5;2.151,0
2019-09;30;180502;48275;62857;69370;6.016,7;2.312,3
2019-10;31;200469;64782;64749;70938;6.466,7;2.288,3
2019-11;30;186153;59597;61854;64702;6.205,1;2.156,7
2019-12;31;230301;104781;62370;63150;7.429,1;2.037,1
