estacion;departamento;sector;codigo_via;longitud_km;en_corredor_portales;anio;tpd;pct_autos;pct_buses;pct_camiones;tpd_camiones
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;1997;3803;42;6;52;1.977,6
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;1998;3877;42;7;51;1.977,3
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;1999;3449;30;7;63;2.172,9
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2000;3579;37;8;55;1.968,5
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2001;4027;35;9;56;2.255,1
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2002;3597;32;11;57;2.050,3
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2003;4019;31;13;56;2.250,6
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2004;4567;29;13;58;2.648,9
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2005;4961;32;11;57;2.827,8
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2006;5206;32;11;57;2.967,4
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2007;5475;35;11;54;2.956,5
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2008;5326;35;12;53;2.822,8
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2010;4013;29;9;62;2.488,1
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2011;6143;30;10;60;3.685,8
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2012;5721;27;9;64;3.661,4
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2013;5757;31;8;61;3.511,8
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2014;6234;28;9;63;3.927,4
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2015;6899;29;9;62;4.277,4
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2016;7150;40;9;51;3.646,5
243;TOLIMA;CAJAMARCA-IBAGUE;;29;Si;2017;7080;41;9;50;3.540,0
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;1997;3194;32;8;60;1.916,4
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;1998;3546;30;7;63;2.234,0
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;1999;2932;31;6;63;1.847,2
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2000;3147;30;8;62;1.951,1
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2001;3093;29;8;63;1.948,6
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2002;3374;20;12;68;2.294,3
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2003;3412;30;12;58;1.979,0
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2004;3600;31;10;59;2.124,0
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2005;4670;23;14;63;2.942,1
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2006;4498;24;11;65;2.923,7
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2007;4898;32;12;56;2.742,9
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2008;4773;26;16;58;2.768,3
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2011;5741;25;8;67;3.846,5
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2012;4801;25;9;66;3.168,7
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2013;5669;27;9;64;3.628,2
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2014;5781;22;9;69;3.988,9
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2015;6500;23;11;66;4.290,0
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2016;6220;35;10;55;3.421,0
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2017;6450;33;8;59;3.805,5
244;QUINDIO;CALARCA - CAJAMARCA;4003;45;Si;2018;7535;52;4;44;3.315,4
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;1997;12502;85;6;9;1.125,2
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;1998;12896;85;6;9;1.160,6
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;1999;12305;86;6;8;984,4
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;2000;11348;82;7;11;1.248,3
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;2001;12358;66;22;12;1.483,0
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;2002;12434;84;7;9;1.119,1
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;2003;14053;;;;
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;2004;11276;72;16;12;1.353,1
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;2005;11474;76;15;9;1.032,7
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;2006;9925;76;13;11;1.091,8
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;2007;16348;74;16;10;1.634,8
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;2008;11412;75;16;9;1.027,1
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;2009;10821;82;10;8;865,7
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;2010;11283;76;17;7;789,8
245;QUINDIO;ARMENIA - CALARCA;4003;5;No;2011;12347;74;19;7;864,3
