departamento;municipio;divipola;entidad;tramo;pr;fallecidos;latitud;longitud;gizscore;gipvalue;nombre
CUNDINAMARCA;CHIPAQUE;25178;ANI;Bogotá - Villavicencio;10;11;4.452987;-74.046677;1.771262;0.076517;IP  –  Chirajara - Fundadores
CUNDINAMARCA;GUAYABETAL;25335;ANI;Bogotá - Villavicencio;58;23;4.228251;-73.818342;3.818008;0.000135;IP  –  Chirajara - Fundadores
CUNDINAMARCA;GUAYABETAL;25335;ANI;Bogotá - Villavicencio;60;1;4.203601;-73.807188;2.796662;0.005163;IP  –  Chirajara - Fundadores
META;VILLAVICENCIO;50001;ANI;Bogotá - Villavicencio;85;1;4.121453;-73.643971;1.725132;0.084504;IP  –  Chirajara - Fundadores
META;VILLAVICENCIO;50001;INVIAS-OTROS;Granada - Villavicencio;sd;13;4.115757;-73.647497;1.725132;0.084504;
META;RESTREPO;50606;ANI;Villavicencio - Yopal;8;4;4.201806;-73.592214;1.93442;0.053062;Villavicencio - Yopal
BOYACÁ;TIBASOSA;15806;ANI;Duitama-Sogamoso;2;1;5.808537;-73.012985;1.942162;0.052117;Briceño - Tunja - Sogamoso
BOYACÁ;DUITAMA;15238;ANI;Duitama-Sogamoso;0;15;5.806803;-73.027743;2.144165;0.03202;Briceño - Tunja - Sogamoso
BOYACÁ;DUITAMA;15238;ANI;Tunja - Duitama;47;1;5.803867;-73.040309;2.144165;0.03202;Briceño - Tunja - Sogamoso
BOYACÁ;DUITAMA;15238;ANI;Tunja - Duitama;45;9;5.798637;-73.042764;2.144165;0.03202;Briceño - Tunja - Sogamoso
CUNDINAMARCA;GACHANCIPÁ;25295;ANI;Bogotá - Tunja;32;11;5.00172;-73.865477;2.403517;0.016238;Briceño - Tunja - Sogamoso
CUNDINAMARCA;GACHANCIPÁ;25295;ANI;Bogotá - Tunja;28;1;4.975713;-73.89282;2.283962;0.022374;Briceño - Tunja - Sogamoso
CUNDINAMARCA;TOCANCIPÁ;25817;ANI;Bogotá - Tunja;26;13;4.969318;-73.902877;2.454862;0.014094;Briceño - Tunja - Sogamoso
CUNDINAMARCA;TOCANCIPÁ;25817;ANI;Bogotá - Tunja;sd;9;4.963642;-73.916891;3.138462;0.001698;Briceño - Tunja - Sogamoso
META;PUERTO LÓPEZ;50573;ANI;Villavicencio-Puente Arimena;3;2;4.095555;-72.948075;1.725132;0.084504;IP Malla Vial del Meta
META;PUERTO LÓPEZ;50573;ANI;Villavicencio-Puente Arimena;77;2;4.078851;-72.973513;1.725132;0.084504;IP Malla Vial del Meta
