departamento;municipio;divipola;entidad;pr;icount;clasificacion;latitud;longitud
NARIÑO;SAPUYES;52720;INVIAS-OTROS;37;2;Muy Bajo;1.020441;-77.698917
NARIÑO;ILES;52352;ANI;36;2;Muy Bajo;0.997095;-77.474728
NARIÑO;PASTO;52001;ANI;79;4;Muy Bajo;1.163092;-77.286501
NARIÑO;PASTO;52001;INVIAS-OTROS;sd;2;Muy Bajo;1.168242;-77.255688
VALLE DEL CAUCA;BUENAVENTURA;76109;INVIAS-OTROS;20;2;Muy Bajo;3.879461;-76.922322
VALLE DEL CAUCA;BUENAVENTURA;76109;INVIAS-OTROS;26;2;Muy Bajo;3.870278;-76.87666
VALLE DEL CAUCA;BUENAVENTURA;76109;INVIAS-OTROS;45;7;Bajo;3.820753;-76.782572
VALLE DEL CAUCA;LA CUMBRE;76377;INVIAS-OTROS;83;4;Muy Bajo;3.845501;-76.579456
ANTIOQUIA;MUTATÁ;5480;ANI;24;2;Muy Bajo;7.492504;-76.566124
CAUCA;CALDONO;19137;ANI;55;2;Muy Bajo;2.883826;-76.551361
VALLE DEL CAUCA;RESTREPO;76606;INVIAS-OTROS;87;4;Muy Bajo;3.854613;-76.54604
CAUCA;SANTANDER DE QUILICHAO;19698;ANI;73;3;Muy Bajo;3.016749;-76.499233
CAUCA;SANTANDER DE QUILICHAO;19698;ANI;71;2;Muy Bajo;3.000641;-76.496945
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;8;Bajo;3.552498;-76.47908
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;3;3;Muy Bajo;3.496313;-76.461411
CAUCA;VILLA RICA;19845;INVIAS-OTROS;sd;3;Muy Bajo;3.175478;-76.452656
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;5;2;Muy Bajo;3.500004;-76.446648
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;4;Muy Bajo;3.559141;-76.445704
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;8;Bajo;3.564077;-76.434174
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;2;Muy Bajo;3.530302;-76.426392
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;8;Bajo;3.551623;-76.419354
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;7;12;Bajo;3.50657;-76.417723
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;2;Muy Bajo;3.587551;-76.403217
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;9;4;Muy Bajo;3.510647;-76.400643
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;5;Muy Bajo;3.536031;-76.398626
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;9;Bajo;3.522878;-76.392002
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;2;Muy Bajo;3.641882;-76.382275
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;13;4;Muy Bajo;3.514981;-76.380387
VALLE DEL CAUCA;EL CERRITO;76248;INVIAS-OTROS;sd;7;Bajo;3.652625;-76.375694
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;13;2;Muy Bajo;3.518286;-76.366654
VALLE DEL CAUCA;EL CERRITO;76248;INVIAS-OTROS;sd;12;Bajo;3.666267;-76.366207
VALLE DEL CAUCA;EL CERRITO;76248;INVIAS-OTROS;sd;2;Muy Bajo;3.672781;-76.354122
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;6;Muy Bajo;3.538857;-76.338101
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;15;Medio;3.561634;-76.334581
VALLE DEL CAUCA;EL CERRITO;76248;INVIAS-OTROS;sd;10;Bajo;3.678103;-76.333952
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;5;Muy Bajo;3.574419;-76.329609
VALLE DEL CAUCA;GUACARÍ;76318;INVIAS-OTROS;53;3;Muy Bajo;3.773546;-76.326542
VALLE DEL CAUCA;GUACARÍ;76318;INVIAS-OTROS;sd;3;Muy Bajo;3.758211;-76.326084
VALLE DEL CAUCA;GUACARÍ;76318;INVIAS-OTROS;49;12;Bajo;3.741389;-76.324282
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;6;Muy Bajo;3.585606;-76.322594
VALLE DEL CAUCA;EL CERRITO;76248;INVIAS-OTROS;43;8;Bajo;3.698874;-76.322296
VALLE DEL CAUCA;GUACARÍ;76318;INVIAS-OTROS;55;4;Muy Bajo;3.78705;-76.319046
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;sd;13;Bajo;3.600062;-76.314285
VALLE DEL CAUCA;BUGA;76111;DEPTO;118;4;Muy Bajo;3.886886;-76.312409
VALLE DEL CAUCA;EL CERRITO;76248;INVIAS-OTROS;43;4;Muy Bajo;3.691178;-76.311608
VALLE DEL CAUCA;GUACARÍ;76318;INVIAS-OTROS;56;8;Bajo;3.79818;-76.310864
VALLE DEL CAUCA;BUGA;76111;INVIAS-OTROS;57;9;Bajo;3.812018;-76.30785
VALLE DEL CAUCA;EL CERRITO;76248;INVIAS-OTROS;sd;12;Bajo;3.616777;-76.306601
VALLE DEL CAUCA;BUGA;76111;DEPTO;68;6;Muy Bajo;3.909502;-76.306572
VALLE DEL CAUCA;BUGA;76111;INVIAS-OTROS;sd;20;Medio;3.86902;-76.303848
VALLE DEL CAUCA;BUGA;76111;INVIAS-OTROS;59;7;Bajo;3.826492;-76.302918
VALLE DEL CAUCA;EL CERRITO;76248;INVIAS-OTROS;sd;2;Muy Bajo;3.6763;-76.301079
VALLE DEL CAUCA;BUGA;76111;INVIAS-OTROS;61;12;Bajo;3.839293;-76.299992
VALLE DEL CAUCA;BUGA;76111;INVIAS-OTROS;61;11;Bajo;3.851211;-76.297781
VALLE DEL CAUCA;EL CERRITO;76248;INVIAS-OTROS;37;4;Muy Bajo;3.649092;-76.295843
VALLE DEL CAUCA;EL CERRITO;76248;INVIAS-OTROS;35;13;Bajo;3.629823;-76.295304
VALLE DEL CAUCA;EL CERRITO;76248;INVIAS-OTROS;39;9;Bajo;3.66271;-76.292477
VALLE DEL CAUCA;BUGA;76111;DEPTO;72;7;Bajo;3.935516;-76.281996
VALLE DEL CAUCA;PRADERA;76563;INVIAS-OTROS;62;2;Muy Bajo;3.359328;-76.264
VALLE DEL CAUCA;SAN PEDRO;76670;DEPTO;sd;4;Muy Bajo;3.964563;-76.260739
VALLE DEL CAUCA;SAN PEDRO;76670;DEPTO;79;2;Muy Bajo;3.976794;-76.246491
VALLE DEL CAUCA;SAN PEDRO;76670;DEPTO;80;10;Bajo;3.986922;-76.2378
VALLE DEL CAUCA;SAN PEDRO;76670;DEPTO;83;7;Bajo;4.005461;-76.225572
VALLE DEL CAUCA;SAN PEDRO;76670;DEPTO;84;5;Muy Bajo;4.018782;-76.218579
VALLE DEL CAUCA;SAN PEDRO;76670;DEPTO;86;10;Bajo;4.0343;-76.211678
VALLE DEL CAUCA;TULUÁ;76834;DEPTO;87;11;Bajo;4.043904;-76.207352
VALLE DEL CAUCA;TULUÁ;76834;DEPTO;90;6;Muy Bajo;4.058161;-76.19252
VALLE DEL CAUCA;ANDALUCÍA;76036;DEPTO;100;13;Bajo;4.14213;-76.180086
VALLE DEL CAUCA;TULUÁ;76834;DEPTO;92;15;Medio;4.071173;-76.178393
VALLE DEL CAUCA;TULUÁ;76834;DEPTO;97;5;Muy Bajo;4.123049;-76.177998
VALLE DEL CAUCA;ANDALUCÍA;76036;DEPTO;0;2;Muy Bajo;4.159785;-76.17611
VALLE DEL CAUCA;TULUÁ;76834;DEPTO;95;9;Bajo;4.104595;-76.175394
VALLE DEL CAUCA;TULUÁ;76834;DEPTO;93;7;Bajo;4.084548;-76.172701
VALLE DEL CAUCA;ANDALUCÍA;76036;DEPTO;2;10;Bajo;4.181128;-76.170502
VALLE DEL CAUCA;BUGALAGRANDE;76113;DEPTO;7;12;Bajo;4.224855;-76.142206
VALLE DEL CAUCA;BUGALAGRANDE;76113;DEPTO;9;4;Muy Bajo;4.23347;-76.132508
VALLE DEL CAUCA;BUGALAGRANDE;76113;DEPTO;11;6;Muy Bajo;4.244213;-76.124439
VALLE DEL CAUCA;ZARZAL;76895;DEPTO;14;8;Bajo;4.264176;-76.108475
VALLE DEL CAUCA;ZARZAL;76895;DEPTO;16;14;Bajo;4.276208;-76.09896
VALLE DEL CAUCA;ZARZAL;76895;DEPTO;18;13;Bajo;4.291308;-76.085959
VALLE DEL CAUCA;ZARZAL;76895;DEPTO;20;8;Bajo;4.30677;-76.074057
VALLE DEL CAUCA;ZARZAL;76895;DEPTO;28;48;Muy Alto;4.372459;-76.069744
VALLE DEL CAUCA;ZARZAL;76895;DEPTO;26;22;Medio;4.352708;-76.068962
