fecha,anio,municipio,km,tramo,sector_ansv,lon,lat,fallecidos,lesionados,usuario_predominante,circunstancia,zona
2021-01-20,2021,Calarca,7.0,Paso Calarcá – Cajamarca,Armenia - La Línea,-75.620499,4.5255,1,0,Usuario T.Carga,Sin Informacion,Rural
2021-02-14,2021,Ibague,65.0,Cajamarca – Ibagué,Cajamarca - Puente Cajamarca - Ibagué,-75.334521,4.40637,0,2,Peaton,Exceso De Velocidad,Rural
2021-02-22,2021,Ibague,79.0,Cajamarca – Ibagué,Cajamarca - Puente Cajamarca - Ibagué,-75.268074,4.410911,0,1,Usuario de moto,Desobedecer Normas Y/o Señales De Transito,Rural
2021-02-27,2021,Calarca,9.0,Paso Calarcá – Cajamarca,Armenia - La Línea,-75.612292,4.526181,1,0,Usuario de moto,Sin Informacion,Rural
2021-03-13,2021,Calarca,10.0,Paso Calarcá – Cajamarca,Armenia - La Línea,-75.607284,4.523403,1,0,Usuario de moto,Sin Informacion,Rural
2021-03-15,2021,Cajamarca,42.981,Paso Calarcá – Cajamarca,Armenia - La Línea,-75.481545,4.439011,1,0,Usuario de moto,Sin Informacion,Rural
2021-03-23,2021,Calarca,9.0,Paso Calarcá – Cajamarca,Armenia - La Línea,-75.614764,4.525703,1,0,Usuario de bicicleta,Sin Informacion,Rural
2021-03-27,2021,Ibague,65.0,Cajamarca – Ibagué,Cajamarca - Puente Cajamarca - Ibagué,-75.334521,4.40637,0,1,Usuario de V.Individual,Exceso De Velocidad,Rural
2021-03-28,2021,Calarca,1.992,Armenia – Calarcá (fuera),Armenia - La Línea,-75.656447,4.536317,1,0,Usuario de moto,Sin Informacion,Rural
2021-04-05,2021,Calarca,1.992,Armenia – Calarcá (fuera),Armenia - La Línea,-75.656447,4.536317,0,1,Usuario de V.Individual,Posibles Fallas Mecanicas,Rural
2021-04-05,2021,Ibague,65.0,Cajamarca – Ibagué,Cajamarca - Puente Cajamarca - Ibagué,-75.334521,4.40637,0,1,Usuario de moto,Desobedecer Normas Y/o Señales De Transito,Rural
2021-04-16,2021,Ibague,65.0,Cajamarca – Ibagué,Cajamarca - Puente Cajamarca - Ibagué,-75.334521,4.40637,0,1,Usuario de moto,Desobedecer Normas Y/o Señales De Transito,Rural
2021-04-21,2021,Ibague,65.0,Cajamarca – Ibagué,Cajamarca - Puente Cajamarca - Ibagué,-75.334521,4.40637,0,1,Usuario de bicicleta,Desobedecer Normas Y/o Señales De Transito,Rural
2021-04-24,2021,Calarca,1.992,Armenia – Calarcá (fuera),Armenia - La Línea,-75.656447,4.536317,1,0,Usuario de V.Individual,Sin Informacion,Rural
2021-05-12,2021,Ibague,79.0,Cajamarca – Ibagué,Cajamarca - Puente Cajamarca - Ibagué,-75.268074,4.410911,0,1,Usuario de moto,Desobedecer Normas Y/o Señales De Transito,Rural
2021-06-01,2021,Cajamarca,30.0,Paso Calarcá – Cajamarca,Armenia - La Línea,-75.5378,4.465039,0,1,Usuario de moto,Desobedecer Normas Y/o Señales De Transito,Rural
2021-06-07,2021,Cajamarca,42.981,Paso Calarcá – Cajamarca,Armenia - La Línea,-75.484869,4.440162,1,0,Peaton,Sin Informacion,Rural
2021-07-09,2021,Ibague,65.0,Cajamarca – Ibagué,Cajamarca - Puente Cajamarca - Ibagué,-75.334521,4.40637,0,1,Usuario de moto,Desobedecer Normas Y/o Señales De Transito,Rural
