km_desde,km_hasta,tramo,hechos,hechos_fatales,fallecidos,lesionados
0,1,Armenia – Calarcá (fuera),0,0,0,0
1,2,Armenia – Calarcá (fuera),21,8,9,18
2,3,Armenia – Calarcá (fuera),0,0,0,0
3,4,Armenia – Calarcá (fuera),0,0,0,0
4,5,Armenia – Calarcá (fuera),0,0,0,0
5,6,Paso Calarcá – Cajamarca,1,1,2,0
6,7,Paso Calarcá – Cajamarca,1,1,9,2
7,8,Paso Calarcá – Cajamarca,1,1,1,0
8,9,Paso Calarcá – Cajamarca,0,0,0,0
9,10,Paso Calarcá – Cajamarca,2,2,2,0
10,11,Paso Calarcá – Cajamarca,1,1,1,0
11,12,Paso Calarcá – Cajamarca,0,0,0,0
12,13,Paso Calarcá – Cajamarca,0,0,0,0
13,14,Paso Calarcá – Cajamarca,0,0,0,0
14,15,Paso Calarcá – Cajamarca,0,0,0,0
15,16,Paso Calarcá – Cajamarca,0,0,0,0
16,17,Paso Calarcá – Cajamarca,0,0,0,0
17,18,Paso Calarcá – Cajamarca,0,0,0,0
18,19,Paso Calarcá – Cajamarca,0,0,0,0
19,20,Paso Calarcá – Cajamarca,0,0,0,0
20,21,Paso Calarcá – Cajamarca,0,0,0,0
21,22,Paso Calarcá – Cajamarca,3,1,1,2
22,23,Paso Calarcá – Cajamarca,0,0,0,0
23,24,Paso Calarcá – Cajamarca,0,0,0,0
24,25,Paso Calarcá – Cajamarca,0,0,0,0
25,26,Paso Calarcá – Cajamarca,0,0,0,0
26,27,Paso Calarcá – Cajamarca,0,0,0,0
27,28,Paso Calarcá – Cajamarca,0,0,0,0
28,29,Paso Calarcá – Cajamarca,0,0,0,0
29,30,Paso Calarcá – Cajamarca,0,0,0,0
30,31,Paso Calarcá – Cajamarca,1,0,0,1
31,32,Paso Calarcá – Cajamarca,1,0,0,1
32,33,Paso Calarcá – Cajamarca,0,0,0,0
33,34,Paso Calarcá – Cajamarca,0,0,0,0
34,35,Paso Calarcá – Cajamarca,0,0,0,0
35,36,Paso Calarcá – Cajamarca,0,0,0,0
36,37,Paso Calarcá – Cajamarca,0,0,0,0
37,38,Paso Calarcá – Cajamarca,0,0,0,0
38,39,Paso Calarcá – Cajamarca,0,0,0,0
39,40,Paso Calarcá – Cajamarca,0,0,0,0
40,41,Paso Calarcá – Cajamarca,0,0,0,0
41,42,Paso Calarcá – Cajamarca,0,0,0,0
42,43,Paso Calarcá – Cajamarca,2,2,2,0
43,44,Paso Calarcá – Cajamarca,0,0,0,0
44,45,Paso Calarcá – Cajamarca,0,0,0,0
45,46,Paso Calarcá – Cajamarca,0,0,0,0
46,47,Paso Calarcá – Cajamarca,0,0,0,0
47,48,Paso Calarcá – Cajamarca,0,0,0,0
48,49,Paso Calarcá – Cajamarca,0,0,0,0
49,50,Paso Calarcá – Cajamarca,0,0,0,0
50,51,Cajamarca – Ibagué,1,1,2,0
51,52,Cajamarca – Ibagué,5,0,0,31
52,53,Cajamarca – Ibagué,0,0,0,0
53,54,Cajamarca – Ibagué,0,0,0,0
54,55,Cajamarca – Ibagué,0,0,0,0
55,56,Cajamarca – Ibagué,0,0,0,0
56,57,Cajamarca – Ibagué,0,0,0,0
57,58,Cajamarca – Ibagué,0,0,0,0
58,59,Cajamarca – Ibagué,0,0,0,0
59,60,Cajamarca – Ibagué,0,0,0,0
60,61,Cajamarca – Ibagué,0,0,0,0
61,62,Cajamarca – Ibagué,0,0,0,0
62,63,Cajamarca – Ibagué,1,1,1,0
63,64,Cajamarca – Ibagué,0,0,0,0
64,65,Cajamarca – Ibagué,0,0,0,0
65,66,Cajamarca – Ibagué,11,1,1,11
66,67,Cajamarca – Ibagué,0,0,0,0
67,68,Cajamarca – Ibagué,0,0,0,0
68,69,Cajamarca – Ibagué,0,0,0,0
69,70,Cajamarca – Ibagué,0,0,0,0
70,71,Cajamarca – Ibagué,0,0,0,0
71,72,Cajamarca – Ibagué,0,0,0,0
72,73,Cajamarca – Ibagué,0,0,0,0
73,74,Cajamarca – Ibagué,0,0,0,0
74,75,Cajamarca – Ibagué,3,2,4,1
75,76,Cajamarca – Ibagué,1,0,0,1
76,77,Cajamarca – Ibagué,0,0,0,0
77,78,Cajamarca – Ibagué,0,0,0,0
78,79,Cajamarca – Ibagué,0,0,0,0
79,80,Cajamarca – Ibagué,6,1,1,5
80,81,Cajamarca – Ibagué,8,0,0,9
